ID,Nombre
120363160291620702@g.us,"𝕋𝕠𝕕𝕠 𝕧𝕖𝕟𝕥𝕒𝕤 - 𝗘𝗰𝘂𝗮𝗱𝗼𝗿, 𝗖𝗼𝗻 𝗰𝗼𝗻, 𝗣𝗹𝗮𝗰𝗶𝗹𝗹𝗮 , Conde del Maule 💯 Est.C"
56998450035-1634489103@g.us,Grupo de ventas Santiago de Chile
120363160155599020@g.us,ᒪIᗷᖇE ᗰEᖇᑕᗩᗪO CONDE DEL MAULE 📍Comuna Est.C
120363320343043165@g.us,🟢TODO🇪.🇨.🇺.🇦.🇩.🇴.🇷🌟
56954271139-1543770619@g.us,Publicaciones CV1 🏩
120363099690916569@g.us,San Miguel VENDE
120363038318679833@g.us,Víctor Jara  4626👍🏻
56931730643-1614304185@g.us,Grupo Ventas Ecuador4626🇨🇱
120363226716762346@g.us,Ventas Toro Mazotte 150 y alrededores
56964301150-1595024437@g.us,VENTAS METRO HOSPITALES 
120363318283439503@g.us,✅VENTAS PLACILLA 046
120363029244802651@g.us,Ecuador 4570
56946762698-1599941638@g.us,METRO SAN ALBERTO HURT🥩🍻🥓
120363040952652268@g.us,"Edificio Plaza Central, Ecuador 4626"
56977828037-1630978149@g.us,Ventas Av Ecuador 4626 # 2
56961013492-1562128883@g.us,Compras & Ventas 1275
120363081864929369@g.us,🛍️VENTAS ESTACION CENTRAL Y ALREDEDORES🛍️🛒
120363159445913139@g.us,Metro san Alberto Hurtado
120363024652843617@g.us,Ventas Ecuador y Las Rejas!
120363022864636686@g.us,⚜️VENTAS BLANcO GARCÉS 154 ⚜️
56969000340-1561643044@g.us,VENTAS ALAMEDA💸
56993871148-1622337952@g.us,Compra y venta p.p.prado
120363042256075029@g.us,Ventas Ecuador 4626 🍻🥃🍷🌭🍕🍔🌯
56961332014-1622213791@g.us,Compra y venta 054 048
120363109597617815@g.us,Ecuador 4626🍻🚬🧃🍾🌭🍔🍕🌯
120363402169301262@g.us,Ventas 50-79 las rejas 41
56957710565-1616435099@g.us,Núcleo Ventas
120363038949134665@g.us,Ecuador 4626 📍📲💵🛒
56963052937-1632675193@g.us,ECUADOR 4626
120363242958149562@g.us,Conde del maule 4160♥️ Ventas
120363176324672846@g.us,CONDE DEL MAULE 4160 🥳
120363165617712681@g.us,Variedades del edificio Conde Maule 4160 
120363040895427987@g.us,Grupo de ventas santiago
120363098459036730@g.us,Conde del Maule Compras&VTAS 2023
56973706896-1548431788@g.us,🌏Edificio Don Manuel
120363081259285325@g.us,La Florida VENDE
56931034297-1566913847@g.us,Compra y venta San Miguel
120363195871566845@g.us,Compra y venta (santa isabel y alrededores)
56946762698-1597267056@g.us,MAZOTTE Y SOUPER VENTAS🍞🍺
56946762698-1598304947@g.us,CALLE TORO MAZOTTE 🥓🥩🍔🍟🍻
120363026219932599@g.us,🇨🇱Macul♦️♦️LasTorres♦️Quilin🚇
120363161037745786@g.us,Publicidad (Compra/venta) Santiago 🏷️
56959787945-1595803264@g.us,conde del maule 4364 #1🇨🇴
56959787945-1618485135@g.us,Conde del maule 4364#4🇨🇴
56963987596-1595205936@g.us,Nuevos Emprendimientos  💡
56950207088-1609942585@g.us,Level 755 2.0
56959787945-1627674829@g.us,Conde del maule 4364 #5 🇨🇴
120363029180083388@g.us,Ventas blanco garces 154🍞🧈🧀🥫🫙🧃🍺🥃🫖☕
56966507918-1602779306@g.us,Compra-Venta Ecuador
120363022804823688@g.us,Compra y Ventas 4626 🍟🍕🌭🍔
56945073229-1598193097@g.us,GRAN AVENIDA 💸 IN
56959787945-1627674899@g.us,Conde del maule 4364 # 6🇨🇴
120363024328116093@g.us,Conde del Maule 4364 #7🇨🇴
120363022113034866@g.us,Conde del Maule 4364 #8🇨🇴
120363140946476258@g.us,"📍ᗰETᖇO EᑕᑌᗩᗪOᖇ , SAN ALBERTO HURTADO y alrededores 💯"
120363023275809573@g.us,Conde del Maule 4364 #9🇨🇴
120363139029334117@g.us,VENDAN LO QUE QUIERAN 💶💸 (menos de la blanca 🤣🤣) Santiago📍
56972854870-1594785788@g.us,CORONEL SOUPER 4060🏪🗣️
120363104376322105@g.us,Ventas Diversas 🍅🥑🫛🫑🌽🍞🍌🍋🥚🧀🧻🍻🧊🥤🫗
56946478876-1610912627@g.us,MAZOTTE vend DOS🏬
56949940478-1513441292@g.us,Toro mazote 110
56959787945-1618457784@g.us,Conde del Maule 4364#3🇨🇴
56959787945-1618451642@g.us,Conde del maule 4364 #2🇨🇴
120363039104043287@g.us,Compra/Venta 28. 32 . 38🛍️
120363043036063312@g.us,Avenida Ecuador 4873📍Alexisbarber150💈Ventas 4626.4678.4570.4578.4707. Publica tu emprendimiento 😎🛍️
56972629024-1587330093@g.us,Ventas Nicasio y Ecuador🏩
120363023005910313@g.us,Ventas de garaje 4364📝✅
120363046271863262@g.us,"📍𝐕𝐄𝐍𝐓𝐀𝐒 𝐄𝐗𝐏𝐑𝐄𝐒𝐒, Av Ecuador (Est.Central) 🍺🌭🍕🍔"
56940366999-1610587228@g.us,VENDE TODO..🌮🌯🍔🍻🧊🇻🇪🇨🇱🇨🇴🇵🇪
56937573396-1607007820@g.us,Compra/Ventas Sta Petro 🇨🇱
120363085738498860@g.us,Servicios a Domicilio Santiago
120363294265784753@g.us,Ventas y Compras Conde Del Maule 4181
56930385795-1550578019@g.us,Ventas  Nicasio 3
120363195658917235@g.us,PULPERIA
120363043409625855@g.us,Venta General Amengual102
56977828037-1615346072@g.us,Ventas LAS REJAS - 45 51 55 61 65
120363039993925247@g.us,Conde del Maule 4106💅👣🍔🍕🍎
120363394432806984@g.us,🍀🍀 EMPRENDEDOR DIGITAL📊📊
120363030925424823@g.us,EL MERO PARCHE LATINOAMERICANO 🇨🇴🇻🇪🇨🇱🇪🇨🇵🇪
120363400164025080@g.us,Compra🛒 Venta🤝 TodoCondeDelMaule💯
120363042960586111@g.us,■ Coronel Souper 4060 ■
56959039019-1571772624@g.us,VENTAS LAS REJAS 📲🛒🛒🛒🛒
120363282750064195@g.us,SANTA PETRONILA 38🇨🇱🗣
120363221265714188@g.us,"Ventas Codegua, Graneros, Rancagua y Machali."
56933221807-1587928517@g.us,Ventas Santa Lucía
56952179804-1625020059@g.us,VENTAS PLACILLA 046‼️
56968534016-1618078120@g.us,Vntas MyD Estación Cntrl✍🏼
56947133886-1571759121@g.us,COQUIMBO 1189 Y SAN DIEGO Grupo 1
120363025211275400@g.us,Venta Conde Maule 4577
56941593603-1545175745@g.us,🏩...Maruri 639...🏩..
120363040245434966@g.us,Santa Petrolina 32 💯🍔🌭🍕🍻🎂
120363175614138653@g.us,🕘
56948092588-1598462558@g.us,VENTAS STA PETRONILA 32
120363067736017193@g.us,VENTAS #4626
56935070264-1588887731@g.us,DE TODITO NICASIO 115 🥚🥙🍻
56955100432-1630857012@g.us,Ventas y permuta placilla
56949385226-1589912520@g.us,Emprendedores Parque Vivo
120363020387385308@g.us,Sta Petrolina 32🍕🍔🌭🎂👣💅
56935800187-1591564635@g.us,CoronelyToroM
56992040616-1614004153@g.us,Compra y venta  4060
56936441888-1544229264@g.us,📍📍VENTAS X AV ECUADOR
56967465699-1550521327@g.us,Santa Petronila
56936247477-1603667955@g.us,Tres Torres Santa Isabel
120363149522748712@g.us,Apostol 32 
56920230724-1586973152@g.us,🍔🌭PPP ventas de comida ra p
56991325629-1586793764@g.us,Venta Nicasio R 115
56996891836-1606610064@g.us,Ventas Reload Nicasio 115
56935784736-1588707557@g.us,VENTAS EN RADAL 💳🏪💰✅
584242058325-1566765914@g.us,Ventas Barrio Central💰💸
120363416306918145@g.us,Ventas entre residentes Carlos Pézoa veliz 0143 
120363413612785977@g.us,"VARIEDAD,RAPIDEZ 115 NICACIO 🫐🍏🥬🥥"
56977184495-1597023881@g.us,Coronel Souper Ventas
56942916089-1566784294@g.us,El Datito😉
56994943812-1626064326@g.us,EMPRENDE Molino 1845.💪🏼🙏🏻
56963987596-1595620152@g.us,Emprendimientos 2 💡
120363030280895639@g.us,𝐂𝐎𝐌𝐔𝐍𝐀 𝐒𝐀𝐍 𝐌𝐈𝐆𝐔𝐄𝐋🏬🚚🚔🍿🍕
120363310825167672@g.us,"CAMBIA ,VENDE O REGALA POR LO QUE NECESITES…🏡"
120363040853118348@g.us,TALAGANTE Y ALREDEDORES VENDE LO QUE QUIERAS💓
120363259931592217@g.us,El bodegón de los goldos 24/7
584124865751-1541196140@g.us,Souper vecinos 👍
120363101800887615@g.us,La esquina del metro San Alberto Hurtado Y toro mazote de todo las 24 horas 💧💧🥚🥚🥶🥶🎂🎂🍺🍺🍺🍺🛻🛻
56967871334-1519942305@g.us,CONQUISTA VELÁSQUEZ
56935006326-1590015403@g.us,COMPRA Y VENTA 4222🍔🌭🍕
56935006326-1595294276@g.us,Coronel souper 4222 🌭🍔🍕m o
56999882313-1630177641@g.us,COLOMBIANOS R.M santiago
120363227524044459@g.us,Publicidad y Difusión ⭐
56944798025-1570160673@g.us,EMBAJADOR QUINTANA 4334
120363295239621050@g.us,Grupo de compra y venta Santa petronila 28 32 38 y los alrededores
56999910399-1524065047@g.us,COMUNIDAD EL PORTAL 801🤝🏻
56953696639-1586012766@g.us,Ventas RADAL 066 3
120363038355130548@g.us,Franklin/San Diego ventas
120363275017887640@g.us,𝗦. 𝗔. 𝗛𝗨𝗥𝗧𝗔𝗗𝗢 59 Ventas
120363265092971045@g.us,VENTAS / COMPRAS / Y TODO LO QUE NECESITAS EN UN SOLO LUGAR PARA RESIDENTES DE MARIA ROZAS V. 51📲📡
120363321867704634@g.us,Grupo nuevo radal 066 sin restricciones😋🤗
56946572867-1628216374@g.us,ECUADOR VENTAS y reparación y instalación EDIF: SEASON 4707
56956512856-1593372607@g.us,Comida rápida san diego1344🍔🍟🥚🍰🍺🍗🥩
56940398277-1615342765@g.us,Emprendimientos Edif. 38
120363301044164930@g.us,Ventas Santiago 💸💰
120363046149622296@g.us,Metro San Alberto hurtado
120363045501080221@g.us,Ventas Radal 066🏃🏻‍♀️🏃🏻🍣🧃☕☀️
56974089527-1593875510@g.us,Sin Recargo - La Florida
120363026653997501@g.us,Ventas Radal y Av.Ecuador
120363042146764181@g.us,Compra y ventas 4678🤝🏻4626
56946478876-1602974436@g.us,VEN METRO SAN ALBERTO
56946434192-1589088069@g.us,Coronel Souper 4158 🇻🇪🇨🇱
120363269658350470@g.us,EMPRENDEDORES CORONEL SUPER 4060 torre b💧💧💧🥚🥚🎂🎂🛻🛻🍷🍷🥶🥶🥶
56941410156-1616949609@g.us,VENTAS RADAL 0102
120363164660022910@g.us,.Grupo Conde del Maule 4106
56994168077-1588342830@g.us,Ventas parque O'Higgins
56977184495-1594304243@g.us,Conde del maule 4364/4470
56946762698-1598303801@g.us,CALLE CORONEL SOUPER ✅
120363039434562814@g.us,Av.PadreAlbertoHurtado194
120363024542360115@g.us,S/FERNANDO 1477/ CONCHALI
120363200639339449@g.us,Ecuador 4626 ventas de todo 🇨🇱
56937888494-1589492227@g.us,Conde 4160 VENTAS GENERAL
56998513428-1592062802@g.us,Las Rejas 51 Ventas 2
56977184495-1595514071@g.us,Grupo coronel Souper 
120363023949908578@g.us,Maule 4106 De Todito💅🍔🌭🍕🍩
56944034751-1602181226@g.us,VENTAS LINK 2.0 4578 🏬
56967433265-1619552975@g.us,Ventas libres radal
120363027374123068@g.us,4626 Ecuador🍻🍺🍔🍕🌭🥧🥃
56941123327-1607825075@g.us,M libre  Conde del Maule
56972794856-1619189717@g.us,Vecinos embajador 💪
56941123327-1601003348@g.us,Grupo las rejas   2
120363160120606643@g.us,Av . Ecuador ACTIVOS 4626
56948905699-1599568790@g.us,Compras y ventas ect🥳
56999283939-1594599499@g.us,Ventas Metro Ecuador💳🛒🛍️🤝
56948905699-1619487718@g.us,SOY DE ESTACION CENTRAL
56981918851-1601233123@g.us,Ventas extra Las Rejas 51- 55-61-65💎
56998533381-1616869639@g.us,VENTAS NICASIO RETAMALES
56971644260-1588592183@g.us,Edif 59 ventas
120363392376044524@g.us,🍀🍀VÉNDELO TODO🍀🍀
56930983872-1586544208@g.us,"♨️LAS REJAS, SOLO TORRE 61"
56973442888-1571704848@g.us,Colon 1265
56936998842-1586633358@g.us,VENTAS PARA TODO PUBLICO
56992790880-1589295151@g.us,VENTAS Conde del Maule💲🏢
56958744592-1591556993@g.us,Ventas Sin Limites✅
56968091660-1572459350@g.us,Ventas Radal
56961651007-1587170552@g.us,Emprendedores Independenc
120363229907533468@g.us,San Gurmencido77 embajador 4334
120363188303447258@g.us,‌🇨‌🇴‌🇲‌🇵‌🇷‌🇦‌ & 🇻‌🇪‌🇳‌‌🇹‌🇦‌
56958360359-1616443159@g.us,🇻🇪 Espíritu Emprendedor🇨🇱
120363046376679040@g.us,VENTAS  ESTACIÓN CENTRAL
56986454480-1593446973@g.us,24/7 CondeDelMaule/Radal
56998513428-1573681285@g.us,Las Rejas 51 Ventas 1
56973337106-1629390485@g.us,🇻🇪Vzla 3.0 Ventas💲🥢🍩🍱🍔🍗🌮🍕🍟
120363395650389141@g.us,Ventas de TODO🤑
120363200950997089@g.us,Ventas diversas Ecuador 4626
56950114339-1588380007@g.us,Compra y venta 4677
120363375226046401@g.us,"🛒SUPERMERCADO LIBRE 🛒 N° 1 BUIN, PAINE Y ALREDEDORES"
56941846209-1586807789@g.us,Coronel Souper 4060 2.0
56946478876-1605370383@g.us,VENTA 110 TORO MAZOTTE📲
56930762327-1592697350@g.us,Amunategui 620 《Ventas 》🤗
120363305781558593@g.us,Compra y Venta Santiago🇨🇱🛍️
120363393031387621@g.us,🍀🍀 EMPRENDAMOS JUNTOS 🍀🍀
120363272043822051@g.us,EMPRENDEDORES VENTAS LIBRES 0145💧💧🥶🥶🎂🎂🛻🛻🍷🍷🍺🍺🪺🪺🥚
56933460376-1592357554@g.us,VENTAS 895 🤑💰🏢
120363194972252182@g.us,Emprendedores conde del maule  4642
56958047056-1614264975@g.us,VTAS VARIAS MACUL 2021/2
120363140749971153@g.us,Para ventas de 4642 y más .
56937529815-1622762125@g.us,VENTAS URBANO
120363024671622544@g.us,Ventas Abtao 24🎉
